codigos,artigo,rqs,referenciaDentroDoArtigo,pagina,categoria_rq2,subcategoria,categoria_rq1
Ver que as decisões tomadas na reunião teriam impacto no seu trabalho,Scaling scrum in a large globally distributed organization: A case study,2,"People actually maybe don't see what's the value of being there, because we discuss, then we decide something, and if you don't see the results, then maybe you are not so inclined to come again. [...] then we say this needs to change, but in the end nothing happens. [...] One thing that will bring more people is that they see that actually there are decisions made there and this affects their work. [...] whoever is there, gets the right to decide, so if they see that actually this affects their daily work. 
— Team member",,Desafios de Participação,Percepção de Valor,
"gostaram mais de um open space, mesmo não gerando nenhuma mudança",Scaling scrum in a large globally distributed organization: A case study,"1, 2","The next trial was to replace the common retrospective with ""an open space"", where anyone could suggest discussion topics. Several discussions took place simultaneously. Our interviewees commented that that was fun, a lot of discussions around flaps, but again the same problem remained: the discussions did not lead to any real changes.",,Estrutura Organizacional,Formato Alternativo,Estrutura e Organizacao
menos pessoas nas retros em grupo é positiva,Scaling scrum in a large globally distributed organization: A case study,2,"The more time pressure experienced in the project, the less people participated in the common retros. However, some of the interviewees commented that those persons who actively wanted to change things came, which was seen as positive.",,Desafios de Participação,Qualidade vs Quantidade,
diminuição na participação das retros,Scaling scrum in a large globally distributed organization: A case study,2,"All the time the number of participants went down. You could notice that the more time pressure we had [in the project], the less people came. [...] So, now no more than ten people show up in the common retros. [...] But I have been going there, as there's always something.... [...] There has started to be people that are really exited about changing things. So it's kind of motivating that here are people who are still interested in things. 
— Team member",,Desafios de Participação,Pressão Temporal,
"Menor participação, mas maior impacto",Scaling scrum in a large globally distributed organization: A case study,"1, 2","All the time the number of participants went down. You could notice that the more time pressure we had [in the project], the less people came. [...] So, now no more than ten people show up in the common retros. [...] But I have been going there, as there's always something.... [...] There has started to be people that are really exited about changing things. So it's kind of motivating that here are people who are still interested in things. 
— Team member",,Desafios de Participação,Qualidade vs Quantidade,Desafios e problemas
brainstorming para soluções,Scaling scrum in a large globally distributed organization: A case study,1,"In this new format the participants first brainstormed the biggest impediments, prioritized them, chose the most important one, searched root causes for that, ",,,Técnicas de Facilitação,Metodologia e Condução
brainstorming para problemas,Scaling scrum in a large globally distributed organization: A case study,1,"chose one root cause for which they brainstormed solutions, chose one solution and finally drafted an implementation for that. ",,,Técnicas de Facilitação,Metodologia e Condução
Checar se houve solução na próxima reunião,Scaling scrum in a large globally distributed organization: A case study,1,"Later on, in the next common retrospective they would follow up on the implementation of the solution and possibly continue working on it until it was permanently solved",,,Acompanhamento,Metodologia e Condução
Reuniões de maneira híbrida (online e offline),Remote working and collaboration in agile teams,1,"The retrospectives similarly followed a combination of online and offline practices. The co-located office team worked with post-it notes in a meeting room and discussed the outcomes of a release while the remote worker participated via a video or audio call, or through an online support tool such as Appear.in.",,,Modalidade de Reunião,Estrutura e Organizacao
Questões de retrospectiva,Remote working and collaboration in agile teams,1,1. What are we doing well? 2. What do we need to revise/rethink? 3. What should we be doing that we are not doing? 4. What are the blockers?,,,Estrutura de Questões,Metodologia e Condução
Participação anônima,Remote working and collaboration in agile teams,1,"Each attendee was able to write their thoughts anonymously directly into the table using a shared wiki, and although the questions were considered one after the other, it was possible for participants to go back and modify their own earlier entries. After everyone had finished writing their entries, the group discussed each entry in turn. The session was audio recorded and the entries made against each of the questions were distributed afterwards and agreed.",,,Técnicas de Facilitação,Metodologia e Condução
Comunicação infeciente em reuniões com grupos grandes,Remote working and collaboration in agile teams,2,Poor communications for remote workers with large group sessions,,Desafios de Comunicação,Tamanho do Grupo,
Time mais maduros possuem maior qualidade na retrospectiva,Agile ways of working - A team maturity perspective,2,"As can be seen in Table 3, more mature teams make the intended use of the following practices (P < .01): (2) iterative development (.647*) which is a strong correlation (or a large effect), and (6) retrospectives (.490**), which is a medium correlation/effect but very close to a large effect of .5.",,Fatores Contextuais,Maturidade do Time,
correlação entre maturidade do time e retrospectiva,Agile ways of working - A team maturity perspective,2,The significant correlations found between iterative development and retrospectives and GDQ Scale IV give us insight into what agile practices are connected to the group maturity level in order to function in the intended way.,,Fatores Contextuais,Maturidade do Time,
formato comum,Reflection in Agile Retrospectives,1,"There is a standard format commonly used to conduct an agile retrospective meeting
which involves setting the stage, gathering data, generating insight, deciding what to
do and closing the retrospective meeting",4,,Estrutura Padrão,Metodologia e Condução
focando mais no técnico do que na reflexão,Reflection in Agile Retrospectives,2,Understanding this is particularly important as agile teams are reported to focus more on their technical progress and tend to pay less attention to how reflection is performed thereby compromising their potential for improvement,5,Desafios de Foco,Priorização de Conteúdo,
Tempos de retrospectiva,Reflection in Agile Retrospectives,1,Table 1,6,,Duração,Metodologia e Condução
Gerar um plano,Reflection in Agile Retrospectives,1,"Generating a Plan. In reconstructing, teams generated plans decided from their discussion in the retrospective meeting. Action points are an explicit outcome of the retrospective meeting. It is useful to remind all team members about the goal for the next sprint, who will responsible, and what are the associated deadlines.",13,,Resultados Esperados,Metodologia e Condução
falta de solução,Reflection in Agile Retrospectives,2,"You could make 200 action points of your 20 weeks, but not a single one of those was followed up on, you really haven't done anything.",12,Desafios de Eficácia,Falta de Implementação,
Tópicos discutidos durante a retrospectiva,Reflection in Agile Retrospectives,1,"We found that there are six important aspects discussed in the retrospective meetings: identifying and discussing obstacles, discussing feelings, analyzing previous action points, identifying background reasons, identifying future action points and generating a plan.",14,,Conteúdo da Discussão,Metodologia e Condução
Nem todas as equipes realizam planos de ação,Reflection in Agile Retrospectives,2,"Based on the observation of their retrospective meeting, it was seen that they did not discuss their feelings explicitly and only discussed briefly the obstacles related to changing of task priorities needing confirmation with the product manager. They did not discuss it further as once they agreed on that obstacle then the product manager directly proceeded to the Scrum Board, discussed the issue and wrapped up the meeting. They did not record any outcomes, such as a plan or action points, from the meeting. There was little evidence of analyzing previous action points, identifying background reasons and identifying future action points.",16,Desafios de Eficácia,Falta de Implementação,
Tempo curto de retrospectiva,Reflection in Agile Retrospectives,2,"Besides, the duration of the meeting was also short, around 15 min, and they reported performing retrospective meetings only when it was necessary. ",16,Desafios de Implementação,Restrições de Tempo,
Retrospectivas repetitivas,Reflection in Agile Retrospectives,2,"Another interesting observation was that they had adapted the retrospective practice, which seemed too repetitive for them and people often seemed to have forgotten about what happened during the last two weeks' sprint. As result, they were used to placing all the individual reviews written up on sticky notes in a ""retro box"" – a box especially allocated to collect individual reflec‐ tion. If there were no sticky notes during a two weeks' sprint, they would not perform a retrospective meeting.",16,Desafios de Participação,Monotonia,
"Retrospectiva para checar, corrigir e melhorar processos ",Game-based Sprint retrospectives: multiple action research,1,"One of the core principles of all agile methods is the need for continuous process improvement: ""At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behavior accordingly"" (Highsmith and Fowler 2001). An agile practice that provides time and space for the team to come together in order to inspect, fix, and improve their process is a retrospective meeting",,,Melhoria Contínua,Definição e Propósito
Retrospectiva como final da sprint,Game-based Sprint retrospectives: multiple action research,1,"The Scrum framework calls this the Sprint Retrospective (Schwaber and Sutherland 2020). However, team reflexivity as a group level construct is older than the Agile Manifesto (for review, see (Collier et al. 1996; Dingsøyr and Hanssen 2003)). It has been defined as a social-cognitive process, in which ""team members collectively reflect upon the team's objectives, strategies, and processes as well as their wider organization and environments, and adapt them accordingly"" (West, 1996)",,,Timing,Estrutura e Organizacao
Questões da retrospectiva,Game-based Sprint retrospectives: multiple action research,1,"During the meeting, three key questions should be answered (Schwaber 2004; Ringstad et al. 2011):
- What went well, that if we don't discuss, we might forget?
- What did not work and how can we improve it?
- What will we commit to improve in the next iteration?",,,Estrutura de Questões,Metodologia e Condução
Descrição da retrospectiva,Game-based Sprint retrospectives: multiple action research,1,"Accordingly, the retrospective is an opportunity for the team to look back over an iteration and recognize successes and failures; to link the related experience to people, the development process, engineering practices, and tools; and to create a plan for improvements to be enacted during the next iteration (Dybå et al. 2014b; Lehtinen et al. 2015, Lehtinen et al. 2017; Dingsøyr et al. 2018; Ilyés 2019). ",,,Reflexão e Aprendizado,Definição e Propósito
retrospectiva como melhoria no processo de desenvolvimento de software,Game-based Sprint retrospectives: multiple action research,1,"Indeed, the retrospective is one of the most frequently mentioned agile practices in the context of software process improvement (Mas et al. 2018; Küpper et al. 2019).",,,Melhoria Contínua,Definição e Propósito
resultado da retrospectiva: pontos de ação e responsabilidades,Game-based Sprint retrospectives: multiple action research,1,"The output of a retrospective are ""action items"" (Derby and Larsen 2006), which define identified issues as well as possible corrective actions to resolve them (Matthies 2020). All action items should be assigned to volunteers who will take appropriate steps to implement them. Anything that exceeds the authority or scope of responsibility of the team should be escalated to management and considered in an organization-level retrospective (Carlson 2013; Lehtinen et al. 2017; Guckenbiehl and Theobald 2020).",,,Resultados Esperados,Metodologia e Condução
Dificuldade de condução da retrospectiva,Game-based Sprint retrospectives: multiple action research,1,"Nevertheless, running an effective and enjoyable retrospective meeting is still a challenge in real environments. As reported by several studies, the Sprint Retrospective is an agile practice most likely to be implemented improperly or sacrificed when teams perform under pressure to deliver.",,,Facilitação,Desafios e problemas
Implementação inadequada,Game-based Sprint retrospectives: multiple action research,2,"Nevertheless, running an effective and enjoyable retrospective meeting is still a challenge in real environments. As reported by several studies, the Sprint Retrospective is an agile practice most likely to be implemented improperly or sacrificed when teams perform under pressure to deliver.",,Desafios de Implementação,Qualidade da Implementação,
Retrospectivas sacrificadas quando sob pressão,Game-based Sprint retrospectives: multiple action research,2,"Nevertheless, running an effective and enjoyable retrospective meeting is still a challenge in real environments. As reported by several studies, the Sprint Retrospective is an agile practice most likely to be implemented improperly or sacrificed when teams perform under pressure to deliver.",,Desafios de Implementação,Pressão Organizacional,
Falta de estrutura da reunião restringe a discussão,Game-based Sprint retrospectives: multiple action research,2,"he received feedback indicates that the approach helped the teams to mitigate many of the ""accidental difficulties"" pertaining to the Sprint Retrospective, such as lack of structure, dullness, too many complaints, or unequal participation and made the meetings more productive to some degree.",,Desafios de Eficácia,Falta de Estrutura,
muita reclamação,Game-based Sprint retrospectives: multiple action research,2,"he received feedback indicates that the approach helped the teams to mitigate many of the ""accidental difficulties"" pertaining to the Sprint Retrospective, such as lack of structure, dullness, too many complaints, or unequal participation and made the meetings more productive to some degree.",,Desafios de Participação,Comportamento Negativo,
participação desigual,Game-based Sprint retrospectives: multiple action research,2,"he received feedback indicates that the approach helped the teams to mitigate many of the ""accidental difficulties"" pertaining to the Sprint Retrospective, such as lack of structure, dullness, too many complaints, or unequal participation and made the meetings more productive to some degree.",,Desafios de Participação,Distribuição de Participação,
Dominação da discussão por poucos participantes,Game-based Sprint retrospectives: multiple action research,2,"a few vocal participants dominate the discussion, while others only listen even though they have profound views on things;",,Desafios de Participação,Distribuição de Participação,
Foco excessivo em reclamações em vez de melhorias,Game-based Sprint retrospectives: multiple action research,2,participants use the meeting primarily to complain rather than to improve.,,Desafios de Participação,Comportamento Negativo,
Relutância inicial em realizar retrospectivas regulares,Game-based Sprint retrospectives: multiple action research,2,"Their initial reluctance to have regular retrospectives was overcome after they adopted the Conversation Café technique, which can be considered to be a retrospective game.",,Desafios de Participação,Resistência,
ideias repetidas,Game-based Sprint retrospectives: multiple action research,2,the same ideas come up every time;,,Desafios de Eficácia,Repetição,
sem muito assunto nas retrospectivas após uma sprint,Game-based Sprint retrospectives: multiple action research,2,there is not enough to talk about based on a single Sprint;,,Desafios de Eficácia,Conteúdo Insuficiente,
sem discussões sobre como melhorar o time,Game-based Sprint retrospectives: multiple action research,2,there is no good discussion on how to improve the teamwork;,,Desafios de Foco,Priorização de Conteúdo,
discussões ineficientes,Game-based Sprint retrospectives: multiple action research,2,"wasting time on long, ineffectual debates on one issue while neglecting other issues due to a lack of time;",,Desafios de Eficácia,Gestão de Tempo,
Dificuldade em se expressar,Game-based Sprint retrospectives: multiple action research,2,difficulties in writing down ideas expressed in long unstructured oral statements;,,Desafios de Participação,Comunicação,
Tempo curto de retrospectiva para sair com uma solução,Game-based Sprint retrospectives: multiple action research,"1, 2","retrospectives are too short to come up with solutions to complex problems, so additional meetings should be planned;",,Desafios de Implementação,Restrições de Tempo,Desafios e problemas
dificuldade de priorizar,Game-based Sprint retrospectives: multiple action research,2,"it is hard to prioritize issues and focus on the most important ones, because team members want to discuss and explore potential solutions for all of the problems in one meet-ing.",,Desafios de Eficácia,Priorização,
dificuldades na implementação de retrospectivas,Game-based Sprint retrospectives: multiple action research,2,"Lamoreux (2005) reported that in their organization, the retrospective was one of the most challenging agile practices to implement and they encountered many roadblocks to effective reflection. ",,Desafios de Implementação,Barreiras Organizacionais,
redução da frequência das reuniões,Game-based Sprint retrospectives: multiple action research,2,"As a side effect of our project, we found out that the main causes of reducing the frequency of retrospective meetings were not the retrospective itself, but organizational dysfunctions. Issues such as difficulties in communication between developers and the Product Owner or between different teams, forcing teams to overload the Sprint Backlog, and assigning people to multiple Scrum teams were raised during retrospectives before our project started, but nothing was done since the solution would either violate the corporate governance or required corrective actions at the organizational level. This impossibility caused frustration, which in turn caused teams to skip retrospective meetings",,Desafios de Implementação,Barreiras Organizacionais,
Descrição retrospectiva,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"Schwaber et al. define a retrospective as an ""opportunity for the team to inspect itself"". During these meetings the project team discusses a finished project or iteration, focusing on successes as well as encountered challenges and defines steps to improve their process in the future.",,,Inspeção e Melhoria,Definição e Propósito
objetivo da retrospectiva,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"Retrospectives provide time and space to discuss and improve a team's development process, leading to increased performance and enjoyment during the following iteration",,,Melhoria Contínua,Definição e Propósito
Alinhamento com princípios de melhoria de processo,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"these meetings allow implementing the principles """"motivate all people involved"""" and """"create a learning organization"""" of the Software Process Improvement (SPI) manifesto",,,Organização de Aprendi,Definição e Propósito
output das reuniões de retrospectiva,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"The output of retro-spective meetings is a list of action items, including the next steps necessary to proceed and address the identified issues",,,Resultados Esperados,Metodologia e Condução
Origens das retrospectivas em postmortems,Counteracting Agile Retrospective Problems with Retrospective Activities,1,Retrospectives originally appeared in the form of postmortem meetings at the end of a project to learn from success or failures,,,Histórico,Fatores Contextuais
estrutura comum nas retrospectivas,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"First, we took notice of the fact that several of the collected methods prescribe an inherent structure by making use of a form of brainstorming followed by a sharing of ideas and thoughts and ending with a discussion, e.g. Open the Box.",,,Estrutura Padrão,Metodologia e Condução
smells nas retrospectivas,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"Kua and Rubin collected agile retrospective smells, such as All Talk, No Action or the Blame Game",,Desafios de Eficácia,Padrões Negativos,
Falha em definir itens de ação e não atuar neles,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– All Talk–No Action - failing to decide on action items defining the next
steps and therefore having no clear path for improvement.",,Desafios de Eficácia,Falta de Implementação,
Retrospectivas repetitivas,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Too Repetitive – repetitive retrospectives lead to fatigue and boredom, thus
negatively aﬀecting outcomes and team motivation.",,Desafios de Participação,Monotonia,
Falta de preparação,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– No Preparation – not thoroughly preparing a meeting, leaving participants
feeling lost and their time not being valued.",,Desafios de Implementação,Falta de Preparação,
Acusações e culpa em vez de soluções,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Blame Game – when a team is pointing fingers and assigning blame to team
members instead of constructively searching for solutions.",,Desafios de Participação,Comportamento Negativo,
Membros relutantes em expressar opiniões,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Not Speaking Up – team members are reluctant to openly address their
feelings and perceptions or known problem in the group.",,Desafios de Participação,Comunicação,
Levando para o pessoal,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Taking It Personally – team members feel hurt by the statements of others,
leading to a charged and adversarial atmosphere.",,Desafios de Participação,Comportamento Negativo,
Priorização da harmonia em detrimento da crítica,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Group Think – the team values harmony and consensus higher than a
critical discussion, which leads to fewer improvement possibilities.",,Desafios de Participação,Comportamento Negativo,
Foco somente no negativo,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Focus on Negatives – a team losing its perception of positives from the
past sprint due to a focus on negatives leading to negative team spirit.",,Desafios de Participação,Comportamento Negativo,
Jogo de reclamações,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"– Complain Game – Participants viewing the meeting as a chance to complain
and unload regarding the past instead of a chance to improve.",,Desafios de Participação,Comportamento Negativo,
questões com a atividade sailboat,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"Sailboat [11,18,20,25]. The Sailboat is a popular retrospective activity. The
main idea is to think about the past sprint with a sailboat metaphor, see Fig.1.
Four elements influence the boat: Wind (positives), anchors (negatives), sun
(opportunities) and icebergs (dangers). ",,,Técnicas de Facilitação,Metodologia e Condução
problemas comuns em retrospectivas,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"During the retrospectives we observed the problems: No Preparation, Not Speaking Up, All Talk–No Action, and Too Repetitive.",,Desafios de Eficácia,Padrões Negativos,
Nem todos os problemas foram observados,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"However, we could not observe every problem from our collection of relevant problems during the retrospectives we attended",,Fatores Contextuais,Limitações do Estudo,
usando as atividades notou-se uma melhoria,Counteracting Agile Retrospective Problems with Retrospective Activities,"2, 1",Overall our observations and the answers to our questionnaire supported most of the problem – activity pairs we tested and the participants generally liked the activities they had used.,,Metodologia de Condução,Eficácia das Técnicas,Metodologia e Condução
Métodos estruturados ajudam na preparação,Counteracting Agile Retrospective Problems with Retrospective Activities,2,"Accordingly, we found that methods with an inherent structure (1st brainstorm, 2nd share, 3rd discuss,..), e.g. Sailboat, helped to pre-pare a retrospective with limited time and effort and thus addressed the problem No Preparation.",,Metodologia de Condução,Eficácia das Técnicas,
Tempo de reflexão e compartilhamento pessoal incentivam a participação,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"Similarly, we found evidence that activities which provide silent thinking time and ask for personal feelings, e.g. Sailboat or Peaks and Valleys Timeline support team members in sharing their perceptions and thus address the problem Not Speaking Up",,,Técnicas de Facilitação,Metodologia e Condução
Problemas comuns de retrospectiva foram identificados em equipes diversas.,Counteracting Agile Retrospective Problems with Retrospective Activities,1,We were able to identify multiple of the collected retrospective problems in ret-rospectives of teams from both professional and educational backgrounds.,,,Generalização,Fatores Contextuais
Resultados indicam efeito positivo de atividades em problemas.,Counteracting Agile Retrospective Problems with Retrospective Activities,"1, 2",The results of the case studies indicate a positive effect of six retrospective activities on four retrospective problems.,,Metodologia de Condução,Eficácia das Técnicas,Metodologia e Condução
falta de preparação foi o principal problema notado,Counteracting Agile Retrospective Problems with Retrospective Activities,2,The problem which was most often addressed by the use of activities was No Preparation.,,Desafios de Implementação,Falta de Preparação,
Atividades fornecem estrutura para o pensamento da equipe.,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"This is in line with Derby's def-inition of the goals of retrospective activities, i.e. to ""provide structure to help the team think together",,,Eficácia das Técnicas,Metodologia e Condução
uso de atividades melhora a eficácia das retrospectivas.,Counteracting Agile Retrospective Problems with Retrospective Activities,1,"We believe this can help to increase the effectiveness of retrospectives and to improve teamwork, work satisfaction, quality of work and productivity of the teams employing such a mapping in their retrospectives",,,Eficácia das Técnicas,Metodologia e Condução
Retrospectivas são importantes para o desenvolvimento ágil,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,Many see retrospectives as the most important practice of agile software development.,,,Importância,Definição e Propósito
Retrospectivas são a técnica mais importantes para o desenvolvimento ágil,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"The Agile Practice Guide describes them as ""the single most important practice in agile development""  and in his much read book on Scrum and XP, Kniberg states that retrospectives are the ""number-one-most-important thing in Scrum",,,Importância,Definição e Propósito
Propósito da retrospectiva,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"The purpose of retrospectives is to explore the work results of a team in an iteration or a phase in order to ""learn about, improve, and adapt its process""",,,Reflexão e Aprendizado,Definição e Propósito
Tempo de retrospectiva de 1-3h,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Kniberg describes a retrospective practice as a team exercise lasting 1–3 h where a team identifies what has been «good», what «could have been better» and «improvements», and suggest voting on the improvements to focus on in the next iteration.",,,Duração,Metodologia e Condução
Questões de retrospectiva,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Kniberg describes a retrospective practice as a team exercise lasting 1–3 h where a team identifies what has been «good», what «could have been better» and «improvements», and suggest voting on the improvements to focus on in the next iteration.",,,Estrutura de Questões,Metodologia e Condução
busca da causa raíz,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"The practices described in the research literature typically involve additional steps, for example including root cause analysis in order to analyse topics identified before deciding on action items to include in the next iteration",,,Técnicas de Facilitação,Metodologia e Condução
definição de pontos de ações,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"The practices described in the research literature typically involve additional steps, for example including root cause analysis in order to analyse topics identified before deciding on action items to include in the next iteration",,,Resultados Esperados,Metodologia e Condução
Questões do time e fora do escopo,Learning in the large - an exploratory study of retrospectives in large-scale agile development,"1, 2","In a study of retrospective practices at team level, Lethinen et al. found that most discussions were related to topics close to and controllable by the team, but that topics that could not be resolved at the team level due to their complexity nevertheless recurred over time.",,Desafios de Implementação,Escopo de Responsabilidade,Desafios e problemas
retrospectiva como lugar para trabalhar a melhoria contínua,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,any previous studies have seen retrospectives as an arena for reflection to enable learning and process improvement,,,Melhoria Contínua,Definição e Propósito
Times não chegam em todos os níveis de reflexão,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,A finding is that agile teams may not achieve all levels of reflection simply by performing retrospective meetings,,,Profundidade da Reflexão,Desafios e problemas
"discutir sentimentos, pontos de ação anteriores, pontos de fundo e gerar um plano de ação
",Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"The study found that ""important aspects discussed in retrospective meetings include identifying and discussing obstacles, discussing feelings, analysing previous action points, identifying back-ground reasons, identifying future action points and generating a plan""",,,Conteúdo da Discussão,Metodologia e Condução
em times de larga escala usasse o LeSS,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Advice in one of the large-scale development frameworks, Large-Scale Scrum (LeSS),3 is to hold an «overall retrospective» after team retrospectives, to discuss cross-team and system-wide issues, and to create improvement experiments",,,Formato Hierárquico,Estrutura e Organizacao
processos como a maior causa de problema,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Our analysis of topics addressed in the retrospectives shows that most of the issues identified as either «working well» or «could be improved» related to process, followed by people and relationships.",,,Tipos de Problemas,Fatores Contextuais
times lidam principalmente com questões internas do time,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"We find, however, that teams mainly deal with team-internal issues in retrospectives",,,Escopo de Discussão,Fatores Contextuais
Pouca ação para resolver os problemas,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"A common critique of retrospectives is that teams meet and talk, but little of what is talked about is acted upon.",,,Falta de Implementação,Desafios e problemas
curto tempo não permite fazer ações de impacto,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Given the short time spent on retrospectives, they do not seem to facili-tate «deep» learning («double loop» learning in Argyris and Schön's framework).",,,Restrições de Tempo,Desafios e problemas
publicizar as atas diminui as críticas,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,Having minutes public could also lead to critique being toned down or removed completely,,,Transparência,Desafios e problemas
A organização entre times é mais importante do que a interna,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"Prior studies in organizational psychology suggest that in projects with many teams, the coordination between teams are more important than coordination within teams. It is reason to believe it would be beneficial to focus attention on inter-team issues in large projects.",,,Escopo de Discussão,Fatores Contextuais
aspectos contratuais podem diminuir as mudanças,Learning in the large - an exploratory study of retrospectives in large-scale agile development,1,"A challenge in the project studied is that the contract model used may hinder changes, for example the contract model specifies handover phases between companies involved in the analysis of needs phase and the solution description and development phase.",,,Barreiras Organizacionais,Desafios e problemas
retrospectivas como momentos de melhoria contínua,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"""The Scrum Guide defines the purpose of Retros as inspecting 'how the last Sprint went with regards to people, relationships, process, and tools'. Thus, Retros not only represent opportunities for teams to improve their ways of collaboration and teamwork, but also empowerment and enjoyment in future development iterations",,,Melhoria Contínua,Definição e Propósito
retrospectivas no final de uma sprint,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"As a part of the Scrum framework, Retros are performed at the end of an iteration, following the Sprint Review. ",,,Timing,Estrutura e Organizacao
criação de action itens,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"Outcomes of these meetings are a list of 'identified improvements' or 'action items' that will be enacted in the following Sprint.""",,,Resultados Esperados,Metodologia e Condução
retrospectivas são para o que foi e o que será a próxima sprint,Towards Empirically Validated Remedies for Scrum Retrospective Headaches,1,"the Retro deals with how it was built and how the next Sprint can be improved, i.e. the process and the human factors involved.",,,Reflexão e Aprendizado,Definição e Propósito
